 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"411450 MANOEL RIBAS";-;-;-;1;-;-;-;1;2
"411460 MARECHAL CANDIDO RONDON";-;7;1;5;-;2;-;5;20
"411470 MARIA HELENA";-;-;-;1;1;-;-;2;4
"411480 MARIALVA";-;-;2;4;-;2;-;-;8
"411490 MARILANDIA DO SUL";-;1;-;-;-;-;1;1;3
"411500 MARILENA";-;1;-;1;-;-;-;-;2
"411510 MARILUZ";-;-;1;3;-;2;-;-;6
"411520 MARINGA";-;10;5;31;3;3;1;24;77
"411530 MARIOPOLIS";-;2;-;-;-;-;-;-;2
"411535 MARIPA";-;-;-;1;-;-;-;1;2
"411540 MARMELEIRO";-;-;-;1;-;-;-;-;1
"411545 MARQUINHO";-;-;-;-;-;-;-;-;-
"411550 MARUMBI";-;-;-;-;-;1;-;-;1
"411560 MATELANDIA";-;1;-;2;-;1;-;-;4
"411570 MATINHOS";-;4;2;2;-;1;-;5;14
"411573 MATO RICO";-;-;-;1;-;-;-;-;1
"411575 MAUA DA SERRA";-;2;-;1;-;1;-;-;4
"411580 MEDIANEIRA";-;3;1;2;-;3;-;4;13
"411585 MERCEDES";-;2;-;-;-;-;1;-;3
"411590 MIRADOR";-;-;-;-;-;-;-;-;-
"411600 MIRASELVA";-;-;-;-;-;-;-;-;-
"411605 MISSAL";-;-;-;-;-;-;-;1;1
"411610 MOREIRA SALES";-;1;-;-;-;1;-;-;2
"411620 MORRETES";-;3;2;3;1;-;1;1;11
"411630 MUNHOZ DE MELO";-;-;-;-;1;-;-;-;1
"411640 NOSSA SENHORA DAS GRACAS";-;-;1;-;-;-;-;-;1
"411650 NOVA ALIANCA DO IVAI";-;-;-;-;-;1;-;-;1
"411660 NOVA AMERICA DA COLINA";-;-;-;1;-;-;-;2;3
"411670 NOVA AURORA";-;2;-;1;1;-;-;3;7
"411680 NOVA CANTU";-;1;-;-;-;-;-;2;3
"411690 NOVA ESPERANCA";-;1;1;1;-;-;-;1;4
"411695 NOVA ESPERANCA DO SUDOESTE";-;-;-;-;-;-;-;1;1
"411700 NOVA FATIMA";-;1;-;1;-;-;-;-;2
"411705 NOVA LARANJEIRAS";-;-;-;-;1;-;-;1;2
"411710 NOVA LONDRINA";-;1;2;1;-;-;1;-;5
"411720 NOVA OLIMPIA";-;-;-;-;-;2;-;1;3
"411721 NOVA SANTA BARBARA";-;-;-;-;-;-;-;3;3
"411722 NOVA SANTA ROSA";-;-;-;-;-;-;-;-;-
"411725 NOVA PRATA DO IGUACU";-;2;-;-;-;-;-;1;3
"411727 NOVA TEBAS";-;-;-;-;-;-;1;2;3
"411729 NOVO ITACOLOMI";-;-;-;-;-;-;-;-;-
"411730 ORTIGUEIRA";-;-;2;-;-;1;-;2;5
"411740 OURIZONA";-;-;-;-;-;-;-;-;-
"411745 OURO VERDE DO OESTE";-;1;-;-;-;-;-;1;2
"411750 PAICANDU";-;1;-;4;1;-;1;1;8
"411760 PALMAS";-;2;3;5;2;3;10;2;27
"411770 PALMEIRA";-;4;-;1;2;4;1;3;15
"411780 PALMITAL";-;3;-;1;1;5;-;2;12
"411790 PALOTINA";-;1;-;3;-;-;-;-;4
"411800 PARAISO DO NORTE";-;-;-;-;1;1;-;2;4
"411810 PARANACITY";-;-;-;-;1;-;1;1;3
"411820 PARANAGUA";-;12;10;14;9;7;2;21;75
"411830 PARANAPOEMA";-;-;-;-;-;-;-;-;-
"411840 PARANAVAI";-;7;2;3;2;2;-;6;22
"411845 PATO BRAGADO";-;-;-;-;-;-;-;-;-
"411850 PATO BRANCO";-;2;5;6;1;2;1;3;20
"411860 PAULA FREITAS";-;-;-;-;-;-;1;-;1
"411870 PAULO FRONTIN";-;2;-;1;-;-;-;-;3
"411880 PEABIRU";-;-;1;-;-;1;-;-;2
"411885 PEROBAL";-;-;1;-;-;-;-;-;1
"411890 PEROLA";-;2;-;-;1;-;-;-;3
"411900 PEROLA D'OESTE";-;-;-;-;-;-;-;1;1
"411910 PIEN";-;1;1;-;-;-;-;1;3
"411915 PINHAIS";-;16;4;9;-;3;2;20;54
"411920 PINHALAO";-;1;1;-;1;-;1;-;4
"411925 PINHAL DE SAO BENTO";-;-;-;-;-;-;-;-;-
"411930 PINHAO";-;-;-;2;2;7;-;2;13
"411940 PIRAI DO SUL";-;2;-;-;-;3;1;4;10
"411950 PIRAQUARA";-;8;4;4;3;6;1;10;36
"411960 PITANGA";-;5;1;1;3;4;1;2;17
"411965 PITANGUEIRAS";-;-;-;-;-;-;-;-;-
"411970 PLANALTINA DO PARANA";-;-;-;-;-;-;-;1;1
"411980 PLANALTO";-;-;1;-;2;-;1;-;4
"411990 PONTA GROSSA";-;26;11;19;10;3;34;21;124
"411995 PONTAL DO PARANA";-;-;1;-;1;-;-;-;2
"412000 PORECATU";-;1;-;-;2;-;2;-;5
"412010 PORTO AMAZONAS";-;-;1;1;-;-;-;-;2
"412015 PORTO BARREIRO";-;-;-;-;-;1;-;-;1
"412020 PORTO RICO";-;-;-;-;-;1;-;-;1
"412030 PORTO VITORIA";-;-;-;-;-;-;-;-;-
"412033 PRADO FERREIRA";-;-;-;-;-;-;-;1;1
"412035 PRANCHITA";-;-;-;-;-;-;-;-;-
"412040 PRESIDENTE CASTELO BRANCO";-;2;-;-;-;-;-;-;2
"412050 PRIMEIRO DE MAIO";-;1;-;-;-;-;-;2;3
"412060 PRUDENTOPOLIS";-;5;3;5;5;1;4;3;26
"412065 QUARTO CENTENARIO";-;1;-;1;1;-;-;-;3
"412070 QUATIGUA";-;-;-;1;-;-;-;1;2
"412080 QUATRO BARRAS";-;2;-;1;-;1;-;-;4
"412085 QUATRO PONTES";-;-;-;-;-;-;-;-;-
"412090 QUEDAS DO IGUACU";-;7;2;4;1;1;2;5;22
"412100 QUERENCIA DO NORTE";-;-;1;1;-;-;-;1;3
"412110 QUINTA DO SOL";-;-;-;-;-;-;-;-;-
"412120 QUITANDINHA";-;-;-;-;1;-;3;-;4
"412125 RAMILANDIA";-;1;-;-;-;-;-;-;1
"412130 RANCHO ALEGRE";-;-;-;-;-;-;-;-;-
"412135 RANCHO ALEGRE D'OESTE";-;2;-;-;1;-;-;-;3
"412140 REALEZA";-;1;-;-;-;1;2;3;7
"412150 REBOUCAS";-;1;-;-;-;3;1;4;9
"412160 RENASCENCA";-;-;1;-;-;-;2;-;3
"412170 RESERVA";-;-;2;2;-;2;2;4;12
"412175 RESERVA DO IGUACU";-;1;1;1;-;1;-;-;4
"412180 RIBEIRAO CLARO";-;5;1;1;-;-;1;3;11
"412190 RIBEIRAO DO PINHAL";-;4;-;-;2;1;1;1;9
"412200 RIO AZUL";-;7;1;1;-;3;1;2;15
"412210 RIO BOM";-;-;-;-;-;-;-;-;-
"412215 RIO BONITO DO IGUACU";-;1;-;-;-;1;-;-;2
"412217 RIO BRANCO DO IVAI";-;-;-;1;-;-;-;2;3
"412220 RIO BRANCO DO SUL";-;3;5;4;3;3;5;3;26
"412230 RIO NEGRO";-;2;4;2;2;2;-;2;14
"412240 ROLANDIA";-;2;6;5;-;-;-;3;16
"412250 RONCADOR";-;5;-;2;-;-;-;1;8
"412260 RONDON";-;-;1;1;-;-;-;-;2
"412265 ROSARIO DO IVAI";-;-;-;-;-;1;-;-;1
"412270 SABAUDIA";-;-;1;-;-;-;-;1;2
"412280 SALGADO FILHO";-;-;-;-;-;1;-;-;1
"412290 SALTO DO ITARARE";-;2;-;-;-;-;-;-;2
"412300 SALTO DO LONTRA";-;1;-;-;1;-;3;1;6
"412310 SANTA AMELIA";-;-;-;-;-;-;-;-;-
"412320 SANTA CECILIA DO PAVAO";-;1;-;-;-;-;-;-;1
"412330 SANTA CRUZ DE MONTE CASTELO";-;1;-;-;-;1;-;1;3
"412340 SANTA FE";-;1;-;-;-;1;-;-;2
"412350 SANTA HELENA";-;5;5;2;-;-;-;3;15
"412360 SANTA INES";-;1;-;-;-;-;-;-;1
"412370 SANTA ISABEL DO IVAI";-;-;-;1;-;2;-;1;4
"412380 SANTA IZABEL DO OESTE";-;-;1;1;-;-;1;-;3
"412382 SANTA LUCIA";-;-;-;2;-;-;-;1;3
"412385 SANTA MARIA DO OESTE";-;-;-;1;1;1;-;-;3
"412390 SANTA MARIANA";-;2;-;2;1;2;-;-;7
"412395 SANTA MONICA";-;1;1;-;-;-;-;-;2
"412400 SANTANA DO ITARARE";-;1;-;-;-;-;-;1;2
"412402 SANTA TEREZA DO OESTE";-;-;-;1;-;-;2;-;3
"412405 SANTA TEREZINHA DE ITAIPU";-;-;-;3;1;3;-;-;7
"412410 SANTO ANTONIO DA PLATINA";-;6;-;3;5;1;-;4;19
"412420 SANTO ANTONIO DO CAIUA";-;-;-;-;-;-;-;-;-
"412430 SANTO ANTONIO DO PARAISO";-;-;-;1;-;-;1;1;3
"412440 SANTO ANTONIO DO SUDOESTE";-;-;-;2;-;-;-;1;3
"412450 SANTO INACIO";-;-;-;-;1;-;-;-;1
"412460 SAO CARLOS DO IVAI";-;1;-;-;-;1;-;-;2
"412470 SAO JERONIMO DA SERRA";-;-;1;3;-;-;-;1;5
"412480 SAO JOAO";-;-;-;2;-;-;-;1;3
"412490 SAO JOAO DO CAIUA";-;1;1;-;-;1;-;-;3
"412500 SAO JOAO DO IVAI";-;3;1;1;-;-;-;-;5
"412510 SAO JOAO DO TRIUNFO";-;-;-;1;-;-;-;-;1
"412520 SAO JORGE D'OESTE";-;-;-;-;1;-;-;-;1
"412530 SAO JORGE DO IVAI";-;-;1;-;-;1;-;-;2
"412535 SAO JORGE DO PATROCINIO";-;1;1;-;-;-;-;1;3
"412540 SAO JOSE DA BOA VISTA";-;1;1;1;-;-;-;3;6
"412545 SAO JOSE DAS PALMEIRAS";-;1;-;1;-;-;-;-;2
"412550 SAO JOSE DOS PINHAIS";-;14;11;15;10;10;3;28;91
"412555 SAO MANOEL DO PARANA";-;-;-;-;-;-;-;1;1
"412560 SAO MATEUS DO SUL";-;3;1;2;1;1;3;2;13
"412570 SAO MIGUEL DO IGUACU";-;2;4;1;1;1;-;1;10
"412575 SAO PEDRO DO IGUACU";-;-;-;2;-;-;-;-;2
"412580 SAO PEDRO DO IVAI";-;-;-;-;-;-;-;2;2
"412590 SAO PEDRO DO PARANA";-;-;-;-;-;-;-;-;-
"412600 SAO SEBASTIAO DA AMOREIRA";-;-;2;3;1;-;-;-;6
"412610 SAO TOME";-;-;1;-;-;1;-;1;3
"412620 SAPOPEMA";-;1;-;-;1;1;-;-;3
"412625 SARANDI";-;7;2;8;8;6;-;5;36
"412627 SAUDADE DO IGUACU";-;-;-;-;-;-;-;-;-
"412630 SENGES";-;3;-;1;2;-;-;1;7
"412635 SERRANOPOLIS DO IGUACU";-;-;-;1;-;-;-;-;1
"412640 SERTANEJA";-;-;-;1;-;-;-;1;2
"412650 SERTANOPOLIS";-;-;1;-;2;-;-;-;3
"412660 SIQUEIRA CAMPOS";-;3;2;1;-;-;-;1;7
"412665 SULINA";-;-;-;-;-;-;-;-;-
"412667 TAMARANA";-;-;1;2;-;1;-;2;6
"412670 TAMBOARA";-;-;-;-;-;-;-;-;-
"412680 TAPEJARA";-;-;-;-;1;-;2;-;3
"412690 TAPIRA";-;-;-;1;-;-;-;2;3
"412700 TEIXEIRA SOARES";-;-;-;1;-;3;-;1;5
"412710 TELEMACO BORBA";-;7;6;8;6;4;1;7;39
"412720 TERRA BOA";-;2;-;1;-;-;-;2;5
"412730 TERRA RICA";-;2;-;3;-;1;-;-;6
"412740 TERRA ROXA";-;2;-;-;2;-;-;1;5
"412750 TIBAGI";-;-;1;1;3;1;-;-;6
"412760 TIJUCAS DO SUL";-;-;-;-;-;2;-;1;3
"412770 TOLEDO";-;8;3;8;3;2;3;4;31
"412780 TOMAZINA";-;1;-;-;-;-;-;-;1
"412785 TRES BARRAS DO PARANA";-;-;-;2;-;-;-;-;2
"412788 TUNAS DO PARANA";-;-;-;-;-;1;-;-;1
"412790 TUNEIRAS DO OESTE";-;-;-;1;-;-;-;1;2
"412795 TUPASSI";-;-;1;-;-;-;-;1;2
"412796 TURVO";-;-;-;-;1;1;1;1;4
"412800 UBIRATA";-;1;2;4;2;-;-;2;11
"412810 UMUARAMA";-;6;3;6;2;5;-;9;31
"412820 UNIAO DA VITORIA";-;3;2;-;2;2;2;5;16
"412830 UNIFLOR";-;-;2;1;-;-;-;-;3
"412840 URAI";-;2;1;-;-;-;1;2;6
"412850 WENCESLAU BRAZ";-;1;2;1;3;5;3;2;17
"412853 VENTANIA";1;-;-;-;2;1;-;1;5
"412855 VERA CRUZ DO OESTE";-;1;1;-;-;-;-;1;3
"412860 VERE";-;-;-;-;-;-;-;-;-
"412862 ALTO PARAISO";-;-;-;1;-;1;-;-;2
"412863 DOUTOR ULYSSES";-;2;-;-;1;-;-;-;3
"412865 VIRMOND";-;-;-;-;-;-;-;-;-
"412870 VITORINO";-;-;-;-;-;-;-;-;-
"412880 XAMBRE";-;3;1;-;-;-;-;1;5
" MUNICIPIO IGNORADO - SC";-;-;-;-;-;-;-;-;-
"420005 ABDON BATISTA";-;-;-;-;-;-;-;-;-
"420010 ABELARDO LUZ";-;1;-;1;1;1;-;1;5
"420020 AGROLANDIA";-;-;1;1;1;2;-;-;5
"420030 AGRONOMICA";-;-;1;1;-;-;-;1;3
"420040 AGUA DOCE";-;-;-;-;1;-;-;2;3
"420050 AGUAS DE CHAPECO";-;2;1;-;-;-;-;2;5
"420055 AGUAS FRIAS";-;-;-;-;-;-;-;-;-
"420060 AGUAS MORNAS";-;-;-;1;1;-;-;-;2
"420070 ALFREDO WAGNER";-;-;-;-;2;-;-;2;4
"420075 ALTO BELA VISTA";-;-;-;-;-;-;-;-;-
"420080 ANCHIETA";-;-;-;1;-;-;-;-;1
"420090 ANGELINA";-;-;1;1;-;-;-;-;2
"420100 ANITA GARIBALDI";-;2;-;3;-;-;1;1;7
"420110 ANITAPOLIS";-;1;-;-;-;-;-;1;2
"420120 ANTONIO CARLOS";-;-;-;-;1;-;-;1;2
"420125 APIUNA";-;-;-;-;1;-;1;-;2
"420127 ARABUTA";-;-;-;-;-;-;-;-;-
"420130 ARAQUARI";-;-;-;-;1;2;-;1;4
"420140 ARARANGUA";-;2;-;9;1;5;1;6;24
"420150 ARMAZEM";-;1;-;-;-;-;-;-;1
"420160 ARROIO TRINTA";-;-;-;1;-;1;-;1;3
"420165 ARVOREDO";-;-;-;-;1;-;-;-;1
"420170 ASCURRA";-;-;1;-;-;-;-;1;2
"420180 ATALANTA";-;1;1;-;-;1;-;-;3
"420190 AURORA";-;-;-;-;-;-;-;1;1
"420195 BALNEARIO ARROIO DO SILVA";-;-;-;-;-;-;-;-;-
"420200 BALNEARIO CAMBORIU";-;5;3;2;3;4;1;3;21
"420205 BALNEARIO BARRA DO SUL";-;-;-;1;1;-;-;-;2
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;-;-
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-
"420209 BARRA BONITA";-;-;-;-;-;-;-;-;-
"420210 BARRA VELHA";-;1;-;-;-;-;-;1;2
"420213 BELA VISTA DO TOLDO";-;-;-;-;-;-;1;-;1
"420215 BELMONTE";-;-;-;-;-;-;-;-;-
"420220 BENEDITO NOVO";-;2;-;-;-;1;-;1;4
"420230 BIGUACU";-;1;-;1;-;5;-;1;8
"420240 BLUMENAU";-;19;9;12;3;12;1;19;75
"420243 BOCAINA DO SUL";-;-;-;-;1;-;-;-;1
"420245 BOMBINHAS";-;-;-;-;-;-;-;2;2
"420250 BOM JARDIM DA SERRA";-;-;-;1;-;-;-;-;1
"420253 BOM JESUS";-;-;-;-;-;-;-;-;-
"420257 BOM JESUS DO OESTE";-;-;-;-;-;-;-;-;-
"420260 BOM RETIRO";-;3;-;-;1;1;-;2;7
"420270 BOTUVERA";-;-;-;-;-;-;-;-;-
"420280 BRACO DO NORTE";-;-;1;2;2;-;-;-;5
"420285 BRACO DO TROMBUDO";-;1;-;1;-;-;-;-;2
"420287 BRUNOPOLIS";-;-;-;-;-;-;-;-;-
"420290 BRUSQUE";-;4;-;2;2;-;1;4;13
"420300 CACADOR";-;2;7;3;5;6;2;6;31
"420310 CAIBI";-;1;-;1;2;-;-;1;5
"420315 CALMON";-;-;1;-;-;-;-;-;1
"420320 CAMBORIU";-;3;-;3;-;3;2;3;14
"420325 CAPAO ALTO";-;-;-;-;-;-;-;-;-
"420330 CAMPO ALEGRE";-;2;-;1;1;-;-;1;5
"420340 CAMPO BELO DO SUL";-;-;1;-;-;-;1;-;2
"420350 CAMPO ERE";-;2;1;2;-;2;-;2;9
"420360 CAMPOS NOVOS";-;-;-;1;1;3;-;3;8
"420370 CANELINHA";-;-;-;-;-;-;-;-;-
"420380 CANOINHAS";-;6;3;5;6;5;2;7;34
"420390 CAPINZAL";-;1;1;-;-;2;-;1;5
"420395 CAPIVARI DE BAIXO";-;-;-;-;-;-;-;2;2
"420400 CATANDUVAS";-;-;1;1;-;-;-;-;2
"420410 CAXAMBU DO SUL";-;1;-;-;-;1;1;-;3
"420415 CELSO RAMOS";-;1;-;3;-;-;-;-;4
"420417 CERRO NEGRO";-;-;-;-;-;3;1;-;4
"420419 CHAPADAO DO LAGEADO";-;-;-;-;-;-;-;-;-
"420420 CHAPECO";-;12;2;8;4;4;2;9;41
"420425 COCAL DO SUL";-;-;1;-;-;1;-;1;3
"420430 CONCORDIA";-;8;6;5;-;1;-;2;22
"420435 CORDILHEIRA ALTA";-;-;-;-;-;-;-;1;1
"420440 CORONEL FREITAS";-;-;-;1;-;1;-;1;3
"420445 CORONEL MARTINS";-;-;1;-;-;-;-;1;2
"420450 CORUPA";-;-;-;-;-;-;-;-;-
"420455 CORREIA PINTO";-;-;1;-;-;2;-;1;4
"420460 CRICIUMA";-;9;1;15;15;9;-;14;63
"420470 CUNHA PORA";-;1;-;-;-;-;-;-;1
"420475 CUNHATAI";-;-;-;-;-;-;-;-;-
"420480 CURITIBANOS";-;2;2;3;5;2;1;3;18
"420490 DESCANSO";-;1;-;-;1;-;-;-;2
"420500 DIONISIO CERQUEIRA";-;-;-;1;-;2;1;2;6
"420510 DONA EMMA";-;1;1;-;-;2;-;-;4
"420515 DOUTOR PEDRINHO";-;-;-;-;-;-;-;-;-
"420517 ENTRE RIOS";-;-;-;-;-;-;-;-;-
"420519 ERMO";-;-;-;-;-;-;-;-;-
"420520 ERVAL VELHO";-;-;-;-;-;-;-;1;1
"420530 FAXINAL DOS GUEDES";-;-;1;-;-;-;-;2;3
"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-
"420540 FLORIANOPOLIS";-;16;10;13;13;9;1;21;83
"420543 FORMOSA DO SUL";-;1;-;-;-;-;-;-;1
"420545 FORQUILHINHA";-;-;1;3;1;-;-;2;7
"420550 FRAIBURGO";-;2;5;3;2;-;1;2;15
"420555 FREI ROGERIO";-;-;-;-;-;-;-;-;-
"420560 GALVAO";-;-;1;-;2;2;2;-;7
"420570 GAROPABA";-;-;-;-;-;2;-;1;3
"420580 GARUVA";-;-;-;-;-;2;-;-;2
"420590 GASPAR";-;5;-;2;1;3;-;4;15
"420600 GOVERNADOR CELSO RAMOS";-;1;1;-;1;-;-;-;3
"420610 GRAO PARA";-;-;-;-;-;-;-;1;1
"420620 GRAVATAL";-;-;-;-;-;-;-;-;-
"420630 GUABIRUBA";-;-;-;-;-;-;-;2;2
"420640 GUARACIABA";-;1;-;-;-;-;-;-;1
"420650 GUARAMIRIM";-;2;-;1;-;-;-;2;5
"420660 GUARUJA DO SUL";-;-;1;-;-;-;1;-;2
"420665 GUATAMBU";-;-;-;-;-;-;-;1;1
"420670 HERVAL D'OESTE";-;-;-;-;2;1;-;-;3
"420675 IBIAM";-;-;-;-;-;-;-;-;-
"420680 IBICARE";-;2;-;1;-;-;-;-;3
"420690 IBIRAMA";-;-;-;1;-;1;-;1;3
"420700 ICARA";-;2;1;2;2;2;-;1;10
"420710 ILHOTA";-;-;1;1;-;-;-;-;2
"420720 IMARUI";-;-;-;-;-;-;-;-;-
"420730 IMBITUBA";-;1;1;2;2;2;-;4;12
"420740 IMBUIA";-;-;-;-;-;-;-;-;-
"420750 INDAIAL";-;1;-;1;1;2;-;2;7
"420757 IOMERE";-;-;-;-;-;-;-;-;-
"420760 IPIRA";-;-;1;-;-;-;-;-;1
"420765 IPORA DO OESTE";-;1;-;-;-;1;-;2;4
"420768 IPUACU";-;1;-;-;-;-;-;-;1
"420770 IPUMIRIM";-;-;-;3;1;-;-;-;4
"420775 IRACEMINHA";-;-;-;-;-;-;-;-;-
"420780 IRANI";-;-;2;3;-;2;1;-;8
"420785 IRATI";-;-;-;-;-;-;-;-;-
"420790 IRINEOPOLIS";-;-;-;1;1;1;1;-;4
"420800 ITA";-;1;1;1;-;-;-;-;3
"420810 ITAIOPOLIS";-;-;-;-;-;2;4;3;9
"420820 ITAJAI";-;9;6;5;9;7;-;12;48
"420830 ITAPEMA";-;1;-;1;-;2;-;-;4
"420840 ITAPIRANGA";-;1;-;-;-;1;-;3;5
"420845 ITAPOA";-;1;-;1;-;-;-;-;2
"420850 ITUPORANGA";1;2;1;-;-;2;1;-;7
"420860 JABORA";-;-;1;-;-;-;-;-;1
"420870 JACINTO MACHADO";-;-;-;-;2;-;-;-;2
"420880 JAGUARUNA";-;3;1;-;-;2;-;1;7
"420890 JARAGUA DO SUL";-;10;9;3;2;2;-;10;36
"420895 JARDINOPOLIS";-;-;-;1;-;-;-;-;1
"420900 JOACABA";-;5;7;-;2;1;-;2;17
"420910 JOINVILLE";-;22;10;11;14;15;2;34;108
"420915 JOSE BOITEUX";-;-;-;-;-;-;-;1;1
"420917 JUPIA";-;-;-;-;-;-;-;-;-
"420920 LACERDOPOLIS";-;-;-;1;-;-;-;-;1
"420930 LAGES";-;24;10;21;7;12;7;18;99
"420940 LAGUNA";-;2;-;-;1;2;-;3;8
"420945 LAJEADO GRANDE";-;-;-;-;-;-;-;-;-
"420950 LAURENTINO";-;-;-;1;-;-;1;-;2
"420960 LAURO MULLER";-;1;1;-;2;1;-;1;6
"420970 LEBON REGIS";-;-;-;-;2;2;1;1;6
"420980 LEOBERTO LEAL";-;-;-;-;-;-;1;-;1
"420985 LINDOIA DO SUL";-;-;1;-;-;1;-;-;2
"420990 LONTRAS";-;1;-;2;1;1;-;1;6
"421000 LUIZ ALVES";-;-;-;1;-;1;-;2;4
"421003 LUZERNA";-;1;-;-;-;-;-;-;1
"421005 MACIEIRA";-;-;-;-;-;-;-;-;-
"421010 MAFRA";-;6;-;4;-;2;1;5;18
"421020 MAJOR GERCINO";-;-;2;-;-;-;1;-;3
"421030 MAJOR VIEIRA";-;-;-;-;-;-;-;1;1
"421040 MARACAJA";-;1;-;-;1;-;-;-;2
"421050 MARAVILHA";-;5;-;-;1;-;-;-;6
"421055 MAREMA";-;-;-;-;1;-;-;-;1
"421060 MASSARANDUBA";-;1;-;-;2;-;-;-;3
"421070 MATOS COSTA";-;-;-;-;-;-;-;-;-
"421080 MELEIRO";-;-;-;-;1;-;-;-;1
"421085 MIRIM DOCE";-;-;-;-;-;-;1;-;1
"421090 MODELO";-;-;-;-;-;-;-;-;-
"421100 MONDAI";-;-;-;-;1;-;-;-;1
"421105 MONTE CARLO";-;2;-;-;2;1;-;1;6
"421110 MONTE CASTELO";-;-;2;1;-;-;-;-;3
"421120 MORRO DA FUMACA";-;-;-;1;-;1;4;1;7
"421125 MORRO GRANDE";-;-;1;-;-;-;-;-;1
"421130 NAVEGANTES";-;2;2;1;4;4;1;1;15
"421140 NOVA ERECHIM";-;-;-;-;-;-;-;1;1
"421145 NOVA ITABERABA";-;-;-;-;-;-;-;-;-
"421150 NOVA TRENTO";-;-;-;1;-;-;-;-;1
"421160 NOVA VENEZA";-;-;-;-;1;3;-;-;4
"421165 NOVO HORIZONTE";-;-;-;1;-;-;-;-;1
"421170 ORLEANS";-;-;1;-;-;1;-;-;2
"421175 OTACILIO COSTA";-;1;-;2;2;2;-;-;7
"421180 OURO";-;1;-;-;-;-;-;-;1
"421185 OURO VERDE";-;-;-;1;1;-;-;-;2
"421187 PAIAL";-;-;-;-;-;-;-;-;-
"421189 PAINEL";-;-;-;-;-;-;-;-;-
"421190 PALHOCA";-;4;5;5;3;8;-;11;36
"421200 PALMA SOLA";-;2;-;-;-;1;-;2;5
"421205 PALMEIRA";-;-;-;-;-;-;-;-;-
"421210 PALMITOS";-;1;1;-;-;-;-;1;3
"421220 PAPANDUVA";-;1;1;1;2;1;1;2;9
"421223 PARAISO";-;-;-;-;1;2;-;1;4
"421225 PASSO DE TORRES";-;-;-;-;-;-;-;-;-
"421227 PASSOS MAIA";-;-;-;-;-;1;-;-;1
"421230 PAULO LOPES";-;-;-;-;1;1;-;-;2
"421240 PEDRAS GRANDES";-;-;-;-;-;-;-;-;-
"421250 PENHA";-;1;-;-;-;-;-;1;2
"421260 PERITIBA";-;-;-;-;-;-;-;-;-
"421265 PESCARIA BRAVA";-;-;-;-;-;-;-;-;-
"421270 PETROLANDIA";-;-;-;-;1;-;-;-;1
"421280 BALNEARIO PICARRAS";-;-;-;-;-;1;1;-;2
"421290 PINHALZINHO";-;-;1;1;-;-;-;-;2
"421300 PINHEIRO PRETO";-;-;-;-;-;-;-;-;-
"421310 PIRATUBA";-;-;-;-;-;-;-;1;1
"421315 PLANALTO ALEGRE";-;-;-;-;-;-;-;-;-
"421320 POMERODE";-;1;-;-;-;1;-;-;2
"421330 PONTE ALTA";-;-;1;-;-;1;1;1;4
"421335 PONTE ALTA DO NORTE";-;-;1;-;-;-;-;-;1
"421340 PONTE SERRADA";-;1;2;1;2;2;1;1;10
"421350 PORTO BELO";-;-;-;1;-;-;-;-;1
"421360 PORTO UNIAO";-;3;-;4;1;-;-;1;9
"421370 POUSO REDONDO";-;-;-;-;1;-;-;1;2
"421380 PRAIA GRANDE";-;-;-;-;-;1;1;-;2
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;-;-;-;-;-;-
"421400 PRESIDENTE GETULIO";-;4;1;-;-;-;-;2;7
"421410 PRESIDENTE NEREU";-;-;1;-;-;-;-;-;1
"421415 PRINCESA";-;-;-;-;-;-;-;-;-
"421420 QUILOMBO";-;1;1;1;-;1;1;-;5
"421430 RANCHO QUEIMADO";-;-;-;-;-;-;-;-;-
"421440 RIO DAS ANTAS";-;-;1;-;-;-;-;1;2
"421450 RIO DO CAMPO";-;-;-;1;-;-;-;-;1
"421460 RIO DO OESTE";-;1;-;-;-;-;-;1;2
"421470 RIO DOS CEDROS";-;-;-;-;-;-;-;1;1
"421480 RIO DO SUL";-;2;3;3;2;4;1;3;18
"421490 RIO FORTUNA";-;-;-;-;-;-;-;-;-
"421500 RIO NEGRINHO";-;5;1;1;7;4;1;1;20
"421505 RIO RUFINO";-;-;-;-;-;-;-;-;-
"421507 RIQUEZA";-;-;-;1;-;-;-;-;1
"421510 RODEIO";-;-;1;-;-;-;-;-;1
"421520 ROMELANDIA";-;2;-;1;-;-;1;-;4
"421530 SALETE";-;-;-;1;-;1;-;1;3
"421535 SALTINHO";-;-;-;-;-;-;-;-;-
"421540 SALTO VELOSO";-;1;-;-;-;-;-;2;3
"421545 SANGAO";-;-;-;-;-;1;-;-;1
"421550 SANTA CECILIA";-;2;1;1;1;2;5;-;12
